"","nobs","nsim","k","lm","lewbel","tsls"
"1",100,1,1,0.320984839638832,0.336544258622936,0.126144066711955
"2",200,1,1,0.0966804388706883,2.9514835169648,-0.0372846970313815
"3",500,1,1,0.185344435052261,-0.230552000471315,0.0465741371101736
"4",1100,1,1,0.113004016876888,0.0478594124995277,-0.0184676152299506
"5",3000,1,1,0.156395118369737,0.0286513517410418,0.00805777102865046
"6",100,2,1,0.0276934457218869,-0.31316513469341,-0.172701511956239
"7",200,2,1,0.123379946454532,-0.587477459132192,-0.029151916740386
"8",500,2,1,0.062407004819542,0.0841942218139649,-0.102434704014479
"9",1100,2,1,0.154920629349278,0.0435617948052309,-0.0226191194732625
"10",3000,2,1,0.133298252571337,-0.0113999288694099,-0.00220475096182182
"11",100,3,1,0.231920483876158,-4.2031023830312,0.346118986632011
"12",200,3,1,0.172091805875175,-0.301913145248604,0.101772362989349
"13",500,3,1,0.124266113227702,0.218624902035535,-0.0754448665923734
"14",1100,3,1,0.123333094105784,0.102022674225851,0.00482349945468719
"15",3000,3,1,0.164890882044206,0.03738146357585,0.0208070238852294
"16",100,4,1,0.0661166495641554,1.38555466070694,-0.107851866019384
"17",200,4,1,0.142763862092971,0.412875529900744,0.0434829742506135
"18",500,4,1,0.162740165633065,-0.0288368822886764,0.0439580185444197
"19",1100,4,1,0.155177123426924,0.221239192154522,0.0043147809568469
"20",3000,4,1,0.146256308926841,0.0514726846010221,0.00523760904005299
"21",100,5,1,0.161466382227084,0.365439662420642,0.0795049801683536
"22",200,5,1,0.0211831538151595,-0.125948009574013,-0.0121182470018893
"23",500,5,1,0.148985338893449,0.00428111397998876,0.00280767734238441
"24",1100,5,1,0.125854271962984,-0.053155075518628,-0.0122556709577524
"25",3000,5,1,0.137534020308226,0.00759365938533807,0.00400717832030462
"26",100,6,1,0.199325264363442,0.109275757184672,0.0949693674258885
"27",200,6,1,0.168625259410786,0.0496023200504614,0.113552336403558
"28",500,6,1,0.169922729055845,0.134471240967916,0.0345551003728819
"29",1100,6,1,0.118245105014696,0.0369845655971848,-0.0173810040229265
"30",3000,6,1,0.148378680813333,-0.168118908948007,0.0273631660873728
"31",100,7,1,0.0998522924013803,0.421848031569364,-0.000662742463015342
"32",200,7,1,0.0525521131207902,0.0806311741016688,-0.18878687236174
"33",500,7,1,0.164318805077637,0.209455364597623,0.0197905883804386
"34",1100,7,1,0.119388138497408,-0.0380913707662766,-0.0442299783816451
"35",3000,7,1,0.126128712875327,-0.12592450978566,0.0166241390049269
"36",100,8,1,0.206401536577539,-0.28962450458038,0.0565772530486113
"37",200,8,1,0.0788923455809678,0.176368292324624,0.00946951275503483
"38",500,8,1,0.166134624122249,-0.0162830919945594,-0.0337684786812606
"39",1100,8,1,0.167859289255677,-0.620659997203758,0.0217402394915147
"40",3000,8,1,0.1415352793403,0.152929962925211,-0.0207958203904259
"41",100,9,1,0.00501350163620251,-0.0839643785672927,-0.22761312405233
"42",200,9,1,0.0657492724779944,-0.242904549447371,0.0271866699683212
"43",500,9,1,0.138941825691415,0.805177397762584,0.0369960852497002
"44",1100,9,1,0.134688274525937,0.142366674665692,-0.000706892454598096
"45",3000,9,1,0.143725365965385,-0.00754340498612605,0.0121000049261346
"46",100,10,1,0.249509606072834,-0.0951129170129758,0.0447765726323488
"47",200,10,1,0.197356871760908,0.0990916357561022,0.143427310556672
"48",500,10,1,0.12586513367709,-2.40234498655887,0.0417619257953536
"49",1100,10,1,0.118868033158928,0.245055019607969,-0.0409833736960058
"50",3000,10,1,0.156715041756787,0.103892543478733,0.0241291815042004
"51",100,11,1,0.27432089927717,-1.0652741845342,0.0759836205991689
"52",200,11,1,0.138341613246328,-0.0409398135060492,-0.124726308139876
"53",500,11,1,0.142773400890724,-0.510588316955758,0.0474309667279678
"54",1100,11,1,0.120410512506434,0.00980992668618574,-0.05964951460533
"55",3000,11,1,0.138954247288027,-0.0175034902478083,0.0203064743783798
"56",100,12,1,0.248670457804867,-1.01881308497113,0.319287033425366
"57",200,12,1,0.126345626794914,0.512313273748405,-0.0358008441589839
"58",500,12,1,0.16846198406566,0.276197093740669,0.0598959375175547
"59",1100,12,1,0.140059268441797,0.202743947718333,0.0330418166014519
"60",3000,12,1,0.143981801848624,-0.0521850273848464,0.0121425417407524
"61",100,13,1,0.0750153776553304,-0.0351990780031659,-0.225108268340692
"62",200,13,1,0.12727852451508,-0.289585335936687,-0.0108375036254952
"63",500,13,1,0.134341218433084,-0.0912041833213902,0.0176372448364928
"64",1100,13,1,0.140865300892258,-0.134678759271763,0.0253009857617756
"65",3000,13,1,0.117119381524077,0.0171754495693519,-0.0207508539319453
"66",100,14,1,-0.0203990592044143,0.168163138353197,-0.101052418007159
"67",200,14,1,0.128879943926407,0.198596530105628,-0.0350758203074157
"68",500,14,1,0.12532324251951,-0.128872834512597,-0.0782694760111975
"69",1100,14,1,0.135623176138708,0.0279282379695569,-0.0183666161036812
"70",3000,14,1,0.130965162726509,-0.0185490901860427,0.011971400649365
